,Prediction,Actual
1868081,0,0
4235620,0,0
380286,0,1
173910,0,0
3179509,0,0
2580654,0,0
3938406,0,0
1747421,0,1
3931336,0,0
5226649,0,0
80244,0,1
2465057,1,0
3863643,1,1
4834316,1,1
2168891,1,1
2264193,0,1
3526895,0,0
4356935,1,1
773988,1,1
4504195,1,1
4025761,0,0
1397013,0,1
742543,1,1
2017572,0,0
4902754,0,0
3577399,1,1
1848604,0,0
264057,0,0
1828614,0,0
1781344,1,1
1435641,0,0
4245106,1,1
5241246,0,0
4241612,0,0
4247755,1,1
2655389,0,0
4121898,1,1
4645116,1,1
1283509,1,0
2474609,0,0
3807429,0,0
431119,0,0
2380013,0,0
572658,0,0
1429319,0,0
3576295,0,0
4083333,0,0
3558802,0,0
1896830,0,0
303348,1,1
900643,0,0
3786617,0,0
5303670,0,0
1874023,0,0
4216838,1,1
3194099,0,0
1140214,0,1
4141602,1,1
3141083,0,0
211920,0,0
5021519,0,0
1066615,0,0
2508756,1,1
3515272,0,0
1668959,0,0
2428605,0,0
3880328,1,1
784924,0,0
3359290,0,1
4789857,0,0
4715416,1,1
1022283,1,1
291654,0,0
3162049,0,0
4327117,0,0
2981340,0,0
4566010,1,1
4401403,0,0
3022600,1,1
5096472,0,0
1081918,0,0
4498369,0,0
2644984,0,0
1025723,0,0
2314604,0,1
2577933,1,1
815851,0,1
764737,1,1
3006670,0,0
660965,0,0
1093378,1,0
2835011,0,0
629890,1,1
2118709,0,0
4864611,0,1
4412508,0,0
2000101,0,0
1533460,0,0
928812,0,0
4504728,1,1
1443579,0,1
1125558,0,0
4435723,0,0
3134585,0,1
2712343,0,1
397945,0,0
1740152,1,1
3116050,0,0
1181553,0,0
737169,0,0
4511541,0,0
5209067,0,0
4275046,0,0
5130856,1,1
339121,0,0
1351994,1,1
65540,0,1
1517326,0,0
5003678,1,0
938339,0,0
3857897,0,0
2962246,0,0
755128,0,1
267722,0,0
1413138,0,1
3846949,0,1
3207163,0,0
2953300,0,0
2072286,0,1
1800672,1,1
3479438,1,1
4902614,1,1
4891816,0,0
2049880,0,0
5244514,0,0
1205667,0,1
3760500,0,0
3642226,1,1
4520197,0,0
3383950,0,0
5315957,1,1
1773334,0,0
227791,1,0
3597191,1,1
3034449,1,0
745038,1,1
3156488,0,0
1255128,0,0
3233851,0,0
3205800,0,0
4736302,0,0
4230722,1,1
3929450,0,0
866731,0,0
1956176,1,1
3948907,0,1
3277859,0,0
343780,0,0
3758022,0,0
5153234,0,0
4109651,0,0
924276,0,0
630821,0,0
1453330,0,0
1930975,0,0
258974,0,0
1926081,0,1
1817442,0,1
3561540,0,0
584809,0,0
941523,1,1
655107,0,0
954572,0,0
3409927,0,0
3743305,0,0
504450,0,0
5158418,0,0
787057,0,0
1584302,0,0
1400801,1,1
3841651,0,0
1515319,0,0
4865704,0,1
1507898,1,1
4117962,0,0
4856039,0,0
4959367,0,1
510278,0,0
4542157,1,1
2789791,0,0
2729459,1,0
3906711,1,1
1134607,1,1
656834,0,0
404255,0,0
4159453,1,0
819716,0,0
753367,0,1
856155,0,0
4044033,0,0
3406636,0,0
4119279,0,0
4193535,1,0
3081011,0,1
3019168,0,1
237854,1,0
1010985,0,0
3766608,0,1
1318595,0,1
2486162,0,0
2467068,1,1
5078621,1,0
4703085,0,1
1141201,1,1
3757798,0,0
2616405,0,0
3978230,0,0
3325164,0,0
4647508,0,0
3022599,0,1
3348715,0,0
4834198,0,0
1627474,1,0
2515003,0,1
2309134,0,0
2677874,1,0
4832079,0,0
918721,0,0
2689767,1,1
2678182,0,0
562196,0,0
5146145,1,1
3196663,0,0
2101030,0,0
4068267,1,1
1383479,1,1
4837894,0,0
179813,0,0
2227583,0,0
1593503,0,1
2741776,0,0
2996689,0,0
4947169,0,0
887429,0,0
3473501,0,0
1525103,1,1
1222847,0,0
1790138,1,1
5237049,0,0
4371665,1,1
3248661,0,1
2613967,0,0
1149899,1,1
2189769,0,1
5058245,1,1
2915182,0,1
4033876,0,1
4427916,0,0
4134010,1,1
